response_id,class,response_text,,,,,
response_1,not_flagged,I try and avoid this sort of conflict,,,,,
response_2,flagged,Had a friend open up to me about his mental addiction to weed and how it was taking over his life and making him depressed,,,,,
response_3,flagged,"I saved a girl from suicide once. She was going to swallow a bunch of pills and I talked her out of it in a very calm, loving way.",,,,,
response_4,not_flagged,i cant think of one really...i think i may have indirectly,,,,,
response_5,not_flagged,"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",,,,,
response_6,not_flagged,a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,,,,,
response_7,flagged,Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,,,,,
response_8,flagged,i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,,,,,
response_9,not_flagged,Listened to someone talk about relationship troubles. Offered some advice from personal experience.,,,,,
response_10,flagged,"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",,,,,
response_11,not_flagged,"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",,,,,
response_12,flagged,On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,,,,,
response_13,not_flagged,Anxious girlfriend always needs my help,,,,,
response_14,not_flagged,Never,,,,,
response_15,not_flagged,You as a mom,,,,,
response_16,flagged,"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",,,,,
response_17,not_flagged,I have helped advise friends who have faced circumstances similar to mine,,,,,
response_18,not_flagged,I've helped friends out before,,,,,
response_19,not_flagged,A friend that is a girl and just talk to her tryin to make her feel better,,,,,
response_20,not_flagged,expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,,,,,
response_21,not_flagged,listening to girlfriend's problems,,,,,
response_22,flagged,"Friend was thinking about suicide, after a few days I managed to talk her down.",,,,,
response_23,flagged,"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",,,,,
response_24,not_flagged,"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",,,,,
response_25,not_flagged,never i guess people dont see me as a guy they would go to,,,,,
response_26,flagged,"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",,,,,
response_27,flagged,Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,,,,,
response_28,not_flagged,i listen pretty damn well. better at that as apposed to telling my own story.,,,,,
response_29,flagged,Helping a friend through dealing with his alcoholic mother.,,,,,
response_30,not_flagged,I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,,,,,
response_31,not_flagged,I am a high school teacher so almost everyday.,,,,,
response_32,not_flagged,Friends often come to me to talk about the issues that they're facing in life.,,,,,
response_33,not_flagged,"Summer camp, countless kids have the same issue. I tell them i how it is when you cant listen or are restless.",,,,,
response_34,not_flagged,"Haha. In eight grade, kid got rejected twice. Wanted her to sign his yearbook but he was too nervous. I told him she doesn't really care about rejecting him and she thinks no less of him. He did it.    Probably more, but that's what comes up off the top of my head.",,,,,
response_35,not_flagged,Don't have a specific example but just letting people know you're there if they want to talk.,,,,,
response_36,not_flagged,Some of my friends have gone through the same type of struggle I have been through. I let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up.,,,,,
response_37,flagged,"Friend who had big addiction issues, ended up being completely isolated, skipped school, and had a very low self esteem. I convinced him to go see a doc together, and promised him that i would go through everything with him. He went to rehab for a few months and now he's clean. But the complete lack of support from his family, from school, changed him. I think it was too late when I helped him (he was like that for 5 months) and he'll never be the same as before.",,,,,
response_38,not_flagged,I've always been a good listener for people and I think a lot of people just want to be heard and not necessarily fixed. They just need to express themselves to relief their thoughts to others so they're not trapped so much within the confines of their own head.  I've always lent an ear for someone to speak to.,,,,,
response_39,flagged,One of my best friends was diagnosed with cancer and I did as much as I could for him during that time. I visited him almost every day when he was in treatment just so he didn't have to be alone or anything. When he came back to school I helped him get caught up with school work too.,,,,,
response_40,not_flagged,I don't think I'm qualified to be a serious resource for someone else.,,,,,
response_41,flagged,Many times for my one friend who tried hard drugs (cocaine) and was dealing with depression because of girls,,,,,
response_42,not_flagged,"A lot for my friends. When they have had girl problems, or have just been down in the dumps about life. I always try to look on the positive side of life, and I try to reflect that on my friends' lives as well.",,,,,
response_43,not_flagged,"I'm the theripist of my friends, they always come to me",,,,,
response_44,not_flagged,Describe?    Nah,,,,,
response_45,not_flagged,"My brother went through the same struggles I did, after i found help I was able to set him on the path to healing.",,,,,
response_46,not_flagged,Friend got dumped by girl he had been in a relationship in for 2 years. I stayed by his side until he stopped feeling bad about it. I was there for him.,,,,,
response_47,not_flagged,I open myself to any friend in need of emotional support.,,,,,
response_48,not_flagged,GF and I help her through a lot of shit because I myself have been through a lot of shit.,,,,,
response_49,flagged,"I had a friend that would go off about girls and get super depressed. He told me he was going to kill himself one night and I drove 1n hour and a half to go look for him. By then the cops had already taken him to the hospital but me and a friend went and hung out with him. Also been there to help try and talk him down. Another person I hadnt been friends with for years cause of some stuff called me out of the blue on thankgiving last year. I called back and got a hospital number so I knew something was up. Ended up being a kid who I was friends with years before but was a huge douche to me. He was in the psych ward for trying to kill himself. I got a hold of him and talked to him for a while. Whenever he would call I would answer and be there even though I still had the shit from years earlier on my mind. There are people that I might not want to be around but if it's a situation like this I'll be there for people. My goal or purpose in life that's sustained my survival is to help make other peoples lives a little bit better. Make people laugh when they're sad, help people out when nobody else will. Basically treat other humans even strangers with the respect and kindness of a friend. That's all people need sometime. Let people talk through their shit with me and offer helpful advice if I can. I'm still swimming in my own shit but that's enough to keep me going, keep that little light at the end of the tunnel switched on. Idk how long that will last but I'll be here till it flickers out.",,,,,
response_50,not_flagged,Sometimes I'll calm my friends down after bad stuff happens.,,,,,
response_51,not_flagged,"I once acted as a resource for someone who was struggling in school, and I helped them with their schoolwork.",,,,,
response_52,flagged,My friend was going through a period of intense depression and i made sure that i was always there for him.,,,,,
response_53,not_flagged,"I have talked though some major blows in my girlfriends life. She has had some tough times, and I helped her with them.",,,,,
response_54,not_flagged,Talking to a friend over a break up.,,,,,
response_55,not_flagged,I care about other people more than myself so I listen and help them through tough times,,,,,
response_56,not_flagged,"Over the internet a LOT of people write to me to talk about their problems. Its often girl related, I dont know, I guess it can be nice to rant to someone you dont know irl/someone who can look at the situation a little bit more objective? I think a lot of guys also feel that it can be hard to talk to girl friends irl about their innermost feelings sometimes, thats the feeling I get at least. My friend jokingly refers to me as an Agony Aunt""",,,,, 
response_57,not_flagged,"Friends sometimes come up to me and ask for advice,  I try and give it the best I possibly can",,,,,
response_58,flagged,"My friend dealt with anxiety and this desire for everything in her life to be perfect, she describes it as caring what happens to much, but either way I simply talked to her and when she would try and change the subject I would have to drag her back in due the fact that she didn't want to talk about it, but in reality she wouldn't get better unless i pulled her back into it and helped her through it. But how i helped was by basically talking to her, and giving her the advice she needed to hear, not the one she wanted to such as oh you'll be ok  this will all blow over"" what i said was more along the lines of being so blunt that many may find it rude but for her and i it was essential to making any progress.""""y friend dealt with anxiety and this desire for everything in her life to be perfect  she describes it as caring what happens to much  but either way I simply talked to her and when """,,,,,
response_59,not_flagged,Simply being there as a friend for somebody who's struggling.,,,,,
response_60,flagged,I've had some friends come to me saying people or acquaintances they've known who have killed themselves try and find comfort with me because my best friend killed himself my junior year of high school so they've come to me hoping to find some answers or peace in the turmoil.,,,,,
response_61,not_flagged,"People calling, talk some sense into them, maybe facebook chat..",,,,,
response_62,flagged,"Having self harmed in the past,  I shared my experience with a friend in hopes of swaying her from those actions.",,,,,
response_63,not_flagged,Have worked through problems with friends,,,,,
response_64,not_flagged,When my friend needed help when she was going through some tough stuff. I knew that she needed it but she wouldn't admit it. So I brought it up and initiated it and we talked about it and it really helped her.,,,,,
response_65,flagged,My sister has some pretty severe issues  with her mental health. I try to be there for her when she needs it and I'd like to think its helped her.,,,,,
response_66,not_flagged,Helped friends through stuff.,,,,,
response_67,not_flagged,"I helped encourage a friend to go to therapy, and often listened to their problem to let them know there was someone there for them.",,,,,
response_68,not_flagged,I haven't really met anyone dealing with attention issues. So I haven't had a chance to help unfortunately.,,,,,
response_69,not_flagged,"there are too many to remember specifically, but being as helpful and rational as possible (as well as just listening) with people that need it is a fairly common occurrence",,,,,
response_70,not_flagged,"one of my friends was feeling down, so he came over and talked it out while I listened and gave him some input.",,,,,
response_71,not_flagged,never.,,,,,
response_72,not_flagged,I have tried but am absolutely horrable at it and am way too blunt.,,,,,
response_73,flagged,Ex girlfriend had depression and anxiety. I used to hold her and listen as she told me what was going on,,,,,
response_74,not_flagged,"Always. I don't judge people to much, and can listen well most of the time. So naturally people come to me with their problems.",,,,,
response_75,flagged,My grandmother went through some severe depression shortly after I had some difficulties. Using my personal experience to relate with her and share what I used to get better was helpful to comfort her.,,,,,
response_76,not_flagged,"Now that I've been through it, although i'm not even where I'd like to be, I'm extremely open about sharing my experience with others and helping friends going through similar situations. And PLEASE if you have any other questions about my situation don't hesitate to email me. I'm an open book and excited to see how many people you're going to help.",,,,,
response_77,flagged,when my best friends mom past away from od'ing when he was in grade 5,,,,,
response_78,not_flagged,As a camp counselor I provide stability in kids lives who may have troubled home situations.,,,,,
response_79,flagged,My now girlfriend used to have serious addiction troubles before we started dating and felt as though her addiction defined her as a person. She thought that all people saw when they looked at her was the addiction. I spent many nights with her talking and letting her vent. I was one of the only people supporting her and she felt as though I could help because I had been in her spot.,,,,,
response_80,not_flagged,"The one person I ever talked to it was because we were both going through the same thing. Us talking together helped, it was important to realize you aren't alone",,,,,
response_81,flagged,"Supported a friend through a traumatic car accident, providing emotional support during recovery and assisting with day-to-day tasks during their rehabilitation.",,,,,
response_82,not_flagged,"Helped a family member in preparing for college applications by offering guidance, reviewing essays, and providing encouragement throughout the admission process.",,,,,
response_83,flagged,"Comforted a coworker experiencing anxiety attacks at work by creating a calming workspace, offering relaxation techniques, and being a supportive presence.",,,,,
response_84,not_flagged,"Assisted a friend in organizing a charity event by coordinating logistics, reaching out to sponsors, and ensuring a successful and impactful fundraising event.",,,,,
response_85,flagged,"Supported a sibling through a difficult breakup by providing a safe space to talk, offering distractions, and encouraging self-care during the healing process.",,,,,
response_86,not_flagged,"Helped a neighbor in need by organizing a meal train, collecting groceries, and providing meals during a challenging time of illness.",,,,,
response_87,flagged,"Comforted a friend during a house burglary by offering emotional support, helping secure their home, and assisting in contacting authorities and insurance.",,,,,
response_88,not_flagged,"Assisted a family member in planning a wedding by providing vendor recommendations, helping with decorations, and ensuring a smooth wedding day.",,,,,
response_89,flagged,"Supported a friend experiencing domestic abuse by offering resources, providing a safe haven when needed, and helping create an escape plan from the situation.",,,,,
response_90,not_flagged,"Helped a coworker navigate a conflict resolution at work by mediating discussions, finding common ground, and fostering understanding between parties involved.",,,,,
response_91,flagged,"Comforted a family member through a miscarriage by offering emotional support, being a compassionate listener, and creating a comforting environment.",,,,,
response_92,not_flagged,"Assisted a friend in moving to a new apartment by helping with packing, coordinating movers, and providing support during the relocation process.",,,,,
response_93,flagged,Supported a neighbor dealing with a hoarding disorder by offering non-judgmental assistance in organizing and cleaning their living space in manageable steps.,,,,,
response_94,not_flagged,"Helped a family member in learning a new language by providing language resources, practicing conversation, and encouraging consistent practice.",,,,,
response_95,flagged,"Comforted a friend after a pet's passing by offering condolences, creating a memory book, and being a supportive companion during the grieving process.",,,,,
response_96,not_flagged,"Assisted a colleague in improving presentation skills by providing feedback, offering presentation tips, and encouraging confidence during public speaking.",,,,,
response_97,flagged,"Supported a sibling experiencing financial crisis by offering temporary financial assistance, helping create a budget, and exploring financial planning options.",,,,,
response_98,not_flagged,"Helped a neighbor with childcare by babysitting, providing meals, and offering assistance during a busy period for the neighbor's family.",,,,,
response_99,flagged,"Comforted a family member during a difficult divorce by being a compassionate listener, offering legal guidance, and providing emotional support throughout.",,,,,
response_100,not_flagged,"Assisted a friend in starting a small business by offering business advice, helping create a business plan, and providing support during the initial setup phase.",,,,,
response_101,flagged,"Supported a friend through a stalking incident by providing emotional support, helping them document occurrences, and seeking legal advice for protection.",,,,,
response_102,not_flagged,"Helped a family member in starting a healthy lifestyle by creating meal plans, introducing exercise routines, and providing motivational support.",,,,,
response_103,flagged,"Comforted a coworker facing workplace discrimination by offering solidarity, reporting incidents, and seeking guidance from HR for resolution.",,,,,
response_104,not_flagged,"Assisted a friend in organizing a surprise anniversary celebration by planning activities, coordinating with guests, and ensuring a memorable event.",,,,,
response_105,flagged,"Supported a sibling going through a difficult custody battle by attending court hearings, providing emotional support, and helping with childcare arrangements.",,,,,
response_106,not_flagged,"Helped a neighbor with home repairs by offering tools, lending a hand in fixing issues, and recommending reliable local repair services.",,,,,
response_107,flagged,"Comforted a friend through a traumatic experience by providing resources for therapy, offering continuous support, and being present during recovery.",,,,,
response_108,not_flagged,"Assisted a family member in college applications by proofreading essays, offering advice on choosing courses, and providing encouragement throughout the process.",,,,,
response_109,flagged,"Supported a coworker experiencing PTSD triggers at work by creating a safe workspace, offering coping mechanisms, and providing emotional support.",,,,,
response_110,not_flagged,"Helped a friend in creating a personal budget by explaining financial concepts, suggesting money-saving tips, and monitoring expenses together.",,,,,
response_111,flagged,"Comforted a family member through the loss of a pet by offering condolences, creating a tribute, and providing emotional support during the grieving process.",,,,,
response_112,not_flagged,"Assisted a colleague in career development by sharing networking opportunities, offering resume feedback, and recommending professional growth strategies.",,,,,
response_113,flagged,"Supported a friend dealing with agoraphobia by accompanying them outdoors, providing encouragement, and gradually exposing them to new environments.",,,,,
response_114,not_flagged,"Helped a family member plan a surprise party by organizing logistics, inviting guests, and ensuring secrecy until the event day.",,,,,
response_115,flagged,"Comforted a coworker after a traumatic event in the workplace by offering support, encouraging discussions, and seeking guidance for post-trauma assistance.",,,,,
response_116,not_flagged,"Assisted a friend in learning a musical instrument by providing tutorials, practicing together, and offering encouragement during the learning process.",,,,,
response_117,flagged,"Supported a sibling struggling with addiction by researching rehabilitation centers, attending therapy sessions together, and providing unwavering support.",,,,,
response_118,not_flagged,"Helped a neighbor with grocery shopping during an illness by picking up essentials, running errands, and providing company during medical appointments.",,,,,
response_119,flagged,"Comforted a friend during a legal battle by offering emotional support, connecting them with legal aid, and attending court sessions as a supportive presence.",,,,,
response_120,not_flagged,"Assisted a family member in organizing family gatherings by coordinating schedules, planning activities, and ensuring a smooth event flow.",,,,,
response_121,flagged,"Supported a coworker going through a divorce by offering a listening ear, suggesting counseling resources, and helping manage work responsibilities.",,,,,
response_122,not_flagged,"Helped a friend create a study plan for an upcoming exam by providing study materials, sharing study techniques, and offering quiz sessions for practice.",,,,,
response_123,flagged,"Comforted a family member dealing with depression by being a constant support, encouraging therapy, and engaging in uplifting activities together.",,,,,
response_124,not_flagged,"Assisted a neighbor in gardening by offering gardening tools, sharing planting tips, and providing assistance in setting up a garden space.",,,,,
response_125,flagged,"Supported a friend experiencing trauma triggers by creating a safe environment, suggesting coping mechanisms, and being a calming presence during distress.",,,,,
